Puzzle,Solution,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
5.4.3.9...7.9....8.6.84.37......5.2.2......53........9.28...73.6....2.8.4.....5..,584237961371956248962841375893415627216789453745623819128594736659372184437168592,27,42,12,0,0,0,0,0,0,Easy,
2.......7.1....5.4......32..3.84.1..5.8..27..9......3..9..3.8.........9...72.14..,254683917316927584879154326732849165568312749941765238195436872423578691687291453,25,46,10,0,0,0,0,0,0,Easy,
..5....16.....69...7.....489...68...........4.1.5...9.7.6...1.9.2..5.....51..4.2.,295843716184276935673915248932468571567129384418537692746382159829751463351694827,25,44,12,0,0,0,0,0,0,Easy,
......1.7.....54..7....4.2...4...5.......3.94....8....3.9...81...71....95.2..8..3,453296187291875436786314925934721568178653294625489371369547812847132659512968743,24,43,14,0,0,0,0,0,0,Easy,
9..7.61....12...3..7651...9...8.........6.....85.7....72.....5...91..6..6....3...,942736185851294736376518429163842597297365814485971263724689351539127648618453972,25,38,18,0,0,0,0,0,0,Easy,
.8327.........3.........9.1.31.......5.89....9..5.21...4..158.9..7........53.....,183279654569143782724658931231467598456891273978532146342715869617984325895326417,24,36,21,0,0,0,0,0,0,Easy,
....2..5..9.348.1.7..5......1.49....9....3...4..7..58..........2.39..87....2.4.3.,348127956695348217721569348812495763957683421436712589574836192263951874189274635,26,35,20,0,0,0,0,0,0,Easy,
1....6..26.5.4.7....48..51.4.65.2.38.....32.......8.7....3..............527....4.,173956482685241793294837516416572938758193264932468175849315627361724859527689341,26,52,3,0,0,0,0,0,0,Easy,
.4.8.....7.3.....6....9.7.38.26......9..........3.1...628....9.4....8.1....4.7...,946873251753214986281596743832659174194782635567341829628135497475968312319427568,23,51,7,0,0,0,0,0,0,Easy,
........5.......7.4..86...3....3298623..1..5....9......2.5..3...85..96.1..1......,813297465562143879497865213154732986239618754678954132926581347385479621741326598,25,47,9,0,0,0,0,0,0,Easy,
6.3.5..1.4...39.8....46.5.3.......468.5...1.........9..4.7.8..9..6...7...1.......,623857914457139682198462573971583246865294137234671895542718369386945721719326458,25,47,9,0,0,0,0,0,0,Easy,
.1...427.2.....419........6.2.4.73.1..4.93...7..6.....8......9.4....68.2...2..7..,315964278276538419948172536629457381154893627783621945862745193497316852531289764,27,44,10,0,0,0,0,0,0,Easy,
....712..92..3....5.......1.....47.9........2.7.29...343.6..5...6.4.........1....,346871295921536874587942361253164789819753642674298153432689517165427938798315426,23,37,21,0,0,0,0,0,0,Easy,
.89.7.....37....8.5..8....7.6..8...............846.5..6.......1..5.19.74.....53.9,189376425237154986546892137962581743453927618718463592694738251325619874871245369,25,39,17,0,0,0,0,0,0,Easy,
....9.8676.4..8.........3...567.34...7...2...4..9..2.59.2......3.7............6.4,523491867614378952798625341256713489879542136431986275962854713347169528185237694,25,39,17,0,0,0,0,0,0,Easy,
..8.49...1.93.8...2..........1.34....9..72..38.2....5.9....12..4.3....97.........,378649512159328476246157389761534928594872163832916754987461235413285697625793841,25,38,18,0,0,0,0,0,0,Easy,
...1..........7.9.9....4..26....2...2.3...91..4..1.....1..4.2..3.98....4.7..63...,724198653165237498938654172691582347283476915547319826816745239359821764472963581,24,45,12,0,0,0,0,0,0,Easy,
2...7.5.3...............76.6.51......2..568...48.2......42.....17.6.3.2.......68.,216879543457362918983541762695138274721456839348927156864215397179683425532794681,25,45,11,0,0,0,0,0,0,Easy,
..9..8.....2357..9534.9.....9713...51..87.............7.1.8..5..4.......385...74.,679248513812357469534691872297134685153876294468529137721483956946715328385962741,29,47,5,0,0,0,0,0,0,Easy,
.9....3..4..8.......3.............9.214......6..21...8.38.6.95....15.8..1.5.9..64,591624387472835619863971245387546192214789536659213478738462951946157823125398764,26,50,5,0,0,0,0,0,0,Easy,
......1....97...6..16.845.715.2..8....8.51..99..4..7......92.7.............6...5.,847526193529713468316984527154279836678351249932468715465892371793145682281637954,26,48,7,0,0,0,0,0,0,Easy,
2....3..6.4.6129....5.9...........345.......9.7.......1...6.4.3.92.54.7........5.,289573146743612985615498327926185734534726819871349562158267493392854671467931258,25,46,10,0,0,0,0,0,0,Easy,
4.7..5..992.36.7....3..4..88......4..9..3.5......82..67..5.............2.....8.3.,467825319928361754153794628816957243294136587375482196732549861589613472641278935,25,39,17,0,0,0,0,0,0,Easy,
