Puzzle,Solution,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
9..7.64..63...4.9.71.85..3..6..1..8..........3.....1...7.3....88...9.31.......5.6,928736451635124897714859632269413785541978263387562149176345928852697314493281576,27,47,6,0,0,1,0,1,0,Expert,
...3......6....9.....291........6.....6.7.59...25....787...9.619.......3.1...5.8.,289364175361857924547291836758946312436172598192583647875439261924618753613725489,24,55,10,0,0,2,0,2,2,Expert,
1....6..7..593..6.4.6..7..2.......49....14................6...32.14...7..37..9.51,123546897875932164496187532318275649569314728742698315954761283281453976637829451,26,48,13,1,0,0,0,2,2,Expert,
..1....6...8....23.2....5.4.7..2.4.....74....6........4...5.13...7.1.6..1.6..2.8.,741235869568194723329867514873921456215746398694583271482659137957318642136472985,25,41,29,3,0,2,0,3,2,Expert,
.7..6.3.4.....921......47....39......17.32...9.........42....6.5....3..2731....9.,179268354384759216265314789453976821617832945928541637842197563596483172731625498,26,53,17,3,0,0,0,2,2,Expert,
2.3...9...69.5...........27.9.74..8..4....2.9..5......45........2...986...8...3.5,213467958769852143584931627192743586647185239835296471456318792321579864978624315,25,40,15,1,0,3,0,1,0,Expert,
9...4..5.7..5.8....1..276..5.......212....865......1.......2..7.7..1.....6...524.,932146758746538921815927634593861472124379865687254193458692317279413586361785249,26,164,28,1,1,4,5,25,40,Expert,
..82.9....5.......94..7.......5.3....264...9.4......6...7.5..2.8....4....9.68..35,678249351152836947943175286789563412526418793431792568367951824815324679294687135,25,52,13,3,0,1,0,2,2,Expert,
7....49...8.9.72.49.3.8..1.....42..86...7.4....1..9...2..7..3.....41............1,752164983186937254943285617579642138628371495431859762215798346867413529394526871,26,37,17,0,0,2,0,1,0,Expert,
..3...9..6..8.4..7.4...1...41.6....33.8........2.......9.2..83..2..6...9....4.7.1,183576942659824317247391568415689273378152694962437185794215836821763459536948721,25,65,11,1,1,1,0,5,6,Expert,
...5.......9..2.5....4.76..2..95...4.9.2.6..33..7...........97.463.....1.......3.,721568349649132857835497612278953164594216783316784295182345976463879521957621438,24,61,17,4,0,0,0,4,6,Expert,
...41..........5..4..9537......8......2.....7..5749..892....14.8....7.....1......,573412689219876534468953721794281365182365497635749218927538146846127953351694872,23,133,23,6,3,6,1,9,14,Expert,
8...4.6......5.8...7......41.......778.4..1...25...9..6..7...2..4.....98.195.....,831247659964351872572968314196835247783429165425176983658793421347612598219584736,25,36,19,1,0,3,0,1,0,Expert,
.2......1...647...9...........9.8....4......2..65...18.......5.78.21.4.9..4.....6,427839561851647923963152874172968345548371692396524718619483257785216439234795186,23,89,18,0,1,4,1,4,4,Expert,
...5...3.9......6......8....36..29..7..1..8...5..893....7........8..1..762.....15,472596138983417562165328749836742951794135826251689374517964283348251697629873415,24,55,15,0,1,0,0,2,2,Expert,
......3.13..2.745......82.........45.4....1...6..2....2..5....8.38472...1...6....,752649381389217456416358297827136945943785162561924873274591638638472519195863724,25,68,9,1,0,1,0,2,2,Expert,
..3.42.......7....9..1.....6..3....2..1.98...7.8....43....29.7.......1....48....6,183642759425973681967185324649357812231498567758216943316529478892764135574831296,23,80,17,3,1,4,0,7,8,Expert,
....1.........794...29...6..7.482.......3..9.3.6.......1.....3......347..8.74.1.6,697214385851367942432958761179482653548631297326579814714826539265193478983745126,25,49,12,1,0,0,0,3,2,Expert,
..2.35.84....4.............1.........3586...2...3.2.51.8..2.5..4.76...38.....4.17,672935184518246379394178625129457863735861492846392751981723546457619238263584917,27,55,10,0,1,1,0,2,2,Expert,
5.........983.....432...........2.5..6.1..42.1..8.96....3..851....9.....28...1.4.,516294738798315264432786195379462851865173429124859673943628517651947382287531946,26,63,16,4,1,0,0,2,2,Expert,
..3.4..9...41.8....5..3...8....1.9........6514..2.....5.......9.193..5.2.3....81.,823746195974158263156932478765813924382479651491265387548621739619387542237594816,26,73,21,4,0,2,0,6,8,Expert,
..32759..6.....1...92..3.5...1769...8....2..........1...5...6..2.......3..89..2..,183275964657894132492613857531769428876142395924538716745321689219486573368957241,25,106,24,1,1,2,1,7,8,Expert,
.31.9...6.8.3...24.9......32..7...8.7...683...4...9.......2.........3..8...916...,531492876687351924492687513263745189719268345845139267956824731124573698378916452,25,70,6,0,1,0,0,2,2,Expert,
...8.6...3.....64..187..39.567......4....9.7......51...4...1.....65.....9..4.....,294836517375912648618754392567148239431629875829375164743281956186597423952463781,24,74,21,0,0,0,1,6,8,Expert,
1..8.......3.47....94....2..3...........1.8676.....9...42.8..9..6.9....3..8..4..6,156892374283547619794163528839276145425319867671458932342685791567921483918734256,25,42,11,2,0,0,0,3,0,Expert,
.6.2.5.....2...6.78..6..53.7.1..8........6..8...54.3...5.....84....7.1.....4.....,367295841512384697849617532731928465495736218286541379953162784624879153178453926,24,42,27,1,1,3,0,2,2,Expert,
.5...72..2..8.91.7...5......71..4..6.4.7.859...52...........9..7...6..........4.8,158647239264839157397521684971354826642718593835296741426183975789465312513972468,25,39,16,1,1,0,0,1,0,Expert,
21..7...4.5..6.92..........9..........4..5...67....1.....12.6.73....9...1..65.4..,219578364753461928486392751921736845834915276675284139548123697367849512192657483,24,67,14,2,0,0,0,2,2,Expert,
3.1.58.9.....9...1.2...6.3..9...546...2.......5......25..3...46..3...98...8..4...,361758294784293651925416738197825463832647519456139872579382146243561987618974325,26,63,14,0,0,3,1,3,2,Expert,
.....19...6..2.8..7..8.....1.....7.6...1.......5..9..1..3.7....8..6.2.1..7...839.,358461972961327845742895163189243756437156289625789431513974628894632517276518394,24,43,28,0,0,3,0,2,2,Expert,
....631.........761......28...39.........2.1..7......291..87..34.29....7..6.249..,248763195593218476167459328821396754354872619679145832915687243482931567736524981,27,57,17,0,0,0,0,2,2,Expert,
..7.3....1.6.....3.837..2.5.4......653..2..84....15......5.31...7..86.....5.4....,257839641196254873483761295742398516531627984968415327824573169379186452615942738,27,102,26,1,0,4,0,11,16,Expert,
...13...6...2..3.8.........3..5..8...86...4..5.2.6.....7.8...311.53.2........45..,859137246761249358423685179347591862986723415512468793274856931195372684638914527,25,69,20,0,0,1,0,6,8,Expert,
4.....59..6..8.2......3......4.59.63......4..531............92.316..2.8..9.......,483621597967485231152937648824759163679318452531246879748163925316592784295874316,24,70,8,2,0,2,1,2,2,Expert,
......2.13..2....6.5.8.....64.3.2.......1.9....3..541.9....8.....6....5....16....,467953281389271546152846739641392875528417963793685412914538627836729154275164398,23,51,20,1,0,6,0,2,2,Expert,
......5.651.........42.5.9..7...4..8.......7.6.9..81..9..6...8.7.6.....5..81..4.2,293817546517946823864235791172594638485361279639728154941652387726483915358179462,26,51,13,1,0,0,0,2,2,Expert,
.8......14..9...8.......24......7..3..14.2...927.1........8...7.32..19........6..,286754391413926785579138246648597123351462879927813564165289437732641958894375612,23,48,26,0,1,0,0,5,6,Expert,
9..6.54..73...4...6.4......5.27......6...9...4.91.6.....3...5.7....2...6...4...23,921675438735984261684312759512738694368249175479156382293861547847523916156497823,26,40,14,0,0,1,0,1,0,Expert,
...9..64.....1..922..7.51......53...3......1...4.......156..4...9..3...67....4.5.,173928645548316792269745138981453267327869514654172389815697423492531876736284951,25,34,20,0,0,0,0,2,0,Expert,
.6......941....36...3......7.9....5..8...6.9...1.3.7.4.4.6...3.3...5.4.1.....89..,568713249412985367973462815739124658284576193651839724847691532396257481125348976,26,37,17,1,0,1,0,1,0,Expert,
.18..629......8.1...2...6.4....67...7.43.2......8.1.69.31...8....6..3.....7....4.,418736295695428317372159684189567432764392158253841769531974826946283571827615943,27,74,18,4,1,1,0,6,8,Expert,
