Puzzle,Solution,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
..4..2....2....176....7..........3..8...49.....1..7..9....8......2.9.41.9..62.8.3,574162938329458176168973245795216384836549721241837569453781692682395417917624853,24,44,13,3,0,0,0,0,0,Intermediate,
2.1.845..8..97.....4......2...........87..45..7.6...29.....1..56.7...8.........64,261384597835972641749156382416295738928713456573648129394861275657429813182537964,25,38,18,1,0,2,0,0,0,Intermediate,
81.6.4.......1......2....3..6..4.32.1....7..4...8..1...2..3.4.....1.........9287.,813624759576319248492785631768941325135267984249853167927538416384176592651492873,24,33,24,0,0,1,0,0,0,Intermediate,
4......1..96.358.....18.....2....63..4.6...9...95.2..1....2.3...3.849...8........,485967213196235874273184956521498637748613592369572481954721368637849125812356749,26,45,10,1,1,0,0,0,0,Intermediate,
.3.2....5.7.8..46...........5.......4......51.83.5...2...52.3..8.14......6...1..7,934267185572819463618345729257198634496732851183654972749526318821473596365981247,24,45,12,0,0,1,0,0,0,Intermediate,
.5.2...81184.5.9..6.....43...6..9..28...2...35.134.....9................2..63....,953264781184753926672891435736589142849127653521346879398415267465972318217638594,26,48,7,1,0,0,0,0,0,Intermediate,
6...4....2....37...7..2...9.3..7..9..82.364..9..4...68......9.5.........3...5.2.6,619847523245693781873125649436578192182936457957412368764281935521369874398754216,26,44,11,1,1,0,0,0,0,Intermediate,
...5....28....719..6............9.4.1..4.8....9.....1.......479..48712....5.9....,749513862823647195561982734386129547157468923492735618218356479934871256675294381,24,37,20,2,1,2,0,0,0,Intermediate,
...7..3......19.575.7...2.99...6......4....3563...14...4.196.......429.....3.....,219785346463219857587634219925463781174928635638571492342196578751842963896357124,27,44,10,1,0,0,0,0,0,Intermediate,
.3.7.5.9.1..4...3..75..16...6....34...3...9...2..6.7...52.1.4...1..3....9........,634785192198426537275391684761259348583147926429863751352618479817934265946572813,26,40,15,0,0,1,0,0,0,Intermediate,
...........9.6.7..437......3..1.2..69.1.574.2....9..3...6.....15..7....9.....46.3,625479318189563724437281965378142596961357482254698137846935271513726849792814653,26,40,15,0,0,1,0,0,0,Intermediate,
......1...1..7432...4..8......4.2....8.6.....5.371....3..2.1.....8.3.6..6.5......,759326148816574329234198756971482563482653917563719482347261895128935674695847231,24,50,7,3,0,1,0,0,0,Intermediate,
7.8....49.3....7.2......6..6.13............36.9741........3..64.4..9...8.7.8..2.3,768125349134968752529743681651382497482579136397416825815237964243691578976854213,27,47,7,1,0,0,0,0,0,Intermediate,
...51.8..5..........7..863.31.2.7...........3.62.......9......88..9.53.2.3..6....,643512879589376421127498635318257946754689213962134587496723158871945362235861794,24,52,5,1,0,0,0,0,0,Intermediate,
24.........1.3..278.7.........2134..7.4.98....2....98.9..5.28...78...............,245769138691834527837125649589213476714698352326457981963572814178346295452981763,25,43,13,2,0,1,0,0,0,Intermediate,
1...76.2....5...16...4...3.....18.....23...8.43.7......7..4......61.3..7........5,153876924984532716267491538695218473712354689438769251871945362546123897329687145,24,41,16,2,0,0,0,0,0,Intermediate,
8..........2....5.71....93..63..7.2..........9.5.....8.3861.2.9....9...5.9..3..6.,859326147342179856716458932163987524284561793975243618438615279621794385597832461,25,42,14,5,0,0,0,0,0,Intermediate,
...1...7...16..8.523...8..6..........85.7.......5..7.3.2.8.1.........13...6..95..,658192374491637825237458916374986251185273469962514783523841697849765132716329548,24,42,15,2,0,0,0,0,0,Intermediate,
.....46.86.93....1.1..283....2...........9......24.9.54...8...35......9.9..41.5.6,253194678689357241714628359192536487345879162867241935426985713531762894978413526,27,44,10,0,1,5,0,0,0,Intermediate,
6.5....8............31....7...67.3.8936....7.7.....45...8..3.....176..45...59....,625347981179826534843159627514672398936485172782931456458213769391768245267594813,26,46,9,1,0,2,0,0,0,Intermediate,
.2....8.5.....8.62...4....1..138....4...21...28...6.......6....6...534....9....2.,123697845794518362856432791961385274437921658285746913548269137672153489319874526,24,40,17,1,0,0,0,0,0,Intermediate,
9.4.....15....17.9.....763.391.2.......4............5.1.2..34..7......1..3..7...2,974356281563281749218947635391725864685439127427618953152893476749562318836174592,25,52,4,0,1,5,0,0,0,Intermediate,
