Puzzle,Solution,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
.7...9...8..7.4.1.3.2..849.5..2.....9285.......1......4..97.3.........5.2574.....,674129835895734216312658497563287149928541673741396582486975321139862754257413968,27,54,0,0,0,0,0,0,0,Simple,
91.75..6.....84..57.....9.48.1..3...573...4..........6.98...3..1.........46...15.,914752863632984715785316924861543279573629481429871536298165347157438692346297158,27,54,0,0,0,0,0,0,0,Simple,
85.6.........8.2.....5......7.....2.6.1..8..3.....514..8.....5414....8...27.4.3.6,854672931713984265962531487475193628691428573238765149389216754146357892527849316,26,55,0,0,0,0,0,0,0,Simple,
7...326.4..2.6.......17...5..........26.5....1....4.7....3........6.824.....4..13,715832694892465731643179825387916452426753189159284376974321568531698247268547913,24,57,0,0,0,0,0,0,0,Simple,
3...6.7.5.1...8......3.9..22.87...69........3...5.2......83.....9...1.5....9...87,382164795519278436674359812248713569951486273736592148465837921897621354123945687,25,56,0,0,0,0,0,0,0,Simple,
...65.3..8...2.4..26.374.....1.......8...2......1.6....3....7.8....6.2.3.7.8.3145,147658329853921476269374581321789654486532917795146832934215768518467293672893145,28,53,0,0,0,0,0,0,0,Simple,
...5..8.645..3..9.98...6..26....15..54...9.2.3..6...14....5........2.........89..,123597846456832197987416352678241539541379628392685714819754263765923481234168975,26,55,0,0,0,0,0,0,0,Simple,
41..36..87..4.5.2..5...1.6..63...................7..13...284.....7.13..2.......5.,412736598786495321359821467963148275871352649524679813195284736647513982238967154,25,56,0,0,0,0,0,0,0,Simple,
3...4.....29..6..58......16.9..5....6.3.2.....8.9...2.95.81.....42.9............1,361745892429186375875239416297653184613428759584971623956814237142397568738562941,25,56,0,0,0,0,0,0,0,Simple,
...9...7....21.3..2..4.6....6......7....3..14...1879....1.9.......7...91......86.,814953672576218349239476158163549287798632514425187936651894723382765491947321865,24,57,0,0,0,0,0,0,0,Simple,
.5..7..81.1..3..6..2.9..7.363......8...61...7.....825...5.....9.....2.....7.9...5,453276981719834562826951743634725198582619437971348256345187629198562374267493815,26,55,0,0,0,0,0,0,0,Simple,
